naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Aleksandrovo,Nova Crnja,45.63627777343074,20.583970056054355,Karađorđeva,64
Aleksandrovo,Nova Crnja,45.63453050352271,20.58572585340075,Đure Jakšića,72
Aleksandrovo,Nova Crnja,45.63173187632442,20.587002496926765,Mihajla Pupina,82
Aleksandrovo,Nova Crnja,45.640138689219164,20.585919086103903,Karađorđeva,37
Aleksandrovo,Nova Crnja,45.64189698189775,20.58598351032711,Karađorđeva,28
Aleksandrovo,Nova Crnja,45.63542799211645,20.586572340742975,Đure Jakšića,59
Aleksandrovo,Nova Crnja,45.64394470102492,20.58732994997273,Karađorđeva,19A
Aleksandrovo,Nova Crnja,45.63896844642971,20.5903790176693,Mihajla Pupina,49
Aleksandrovo,Nova Crnja,45.63466417477868,20.59072228306821,4.oktobra,58
Aleksandrovo,Nova Crnja,45.63623824719241,20.59175100845778,4.oktobra,49
Aleksandrovo,Nova Crnja,45.631858450694914,20.594927238026923,Branka Radičevića,50
Aleksandrovo,Nova Crnja,45.633183553268864,20.597801874550537,Gavrila Principa,55
Aleksandrovo,Nova Crnja,45.63623851049016,20.601306279296004,Vuka Karadžića,53
Aleksandrovo,Nova Crnja,45.64327413804317,20.591312500659136,Mihajla Pupina,24
Aleksandrovo,Nova Crnja,45.643768526525044,20.596468946532912,Žarka Zrenjanina,8
Aleksandrovo,Nova Crnja,45.64445778110207,20.602492225045232,Svetozara Markovića,59
Vojvoda Stepa,Nova Crnja,45.67896050705779,20.65560429751807,Karađorđeva,57
Srpska Crnja,Nova Crnja,45.71846820088767,20.680387991499853,Partizanska,125
Srpska Crnja,Nova Crnja,45.71704341450521,20.692504272706568,Kneza Miloša,67
Srpska Crnja,Nova Crnja,45.71634865565962,20.6859242502225,Kralja Aleksandra,160
Srpska Crnja,Nova Crnja,45.715712590078795,20.6881992358312,Đure Jakšića,145
Srpska Crnja,Nova Crnja,45.71674284316277,20.688834547660985,Đure Jakšića,154
